Term	Overlap	P.value	Adjusted.P.value	Gene_count	Gene_ratio	Genes
Regulation of Type B Pancreatic Cell Proliferation (GO:0061469)	3/6	0.00266693672357081	0.0369907095361204	3	0.5	NR4A1;SFRP1;NR4A3
Positive Regulation of Chemotaxis (GO:0050921)	8/46	0.0027002188216902	0.0369907095361204	8	0.173913043478261	P2RY12;PDGFRA;IL6;CCL21;PTN;CCL19;THBS1;F3
Regulation of Calcium-Mediated Signaling (GO:0050848)	8/46	0.0027002188216902	0.0369907095361204	8	0.173913043478261	PDGFRA;RAMP3;PTPRC;TRAT1;LRRK2;CCL4;CCL3;SLA2
Regulation of Fibroblast Proliferation (GO:0048145)	8/46	0.0027002188216902	0.0369907095361204	8	0.173913043478261	PDGFRA;SFRP1;CD300A;GSTP1;MYC;IGF1;WNT2;EREG
Chordate Embryonic Development (GO:0043009)	10/67	0.00274351857686319	0.0373117392554691	10	0.149253731343284	WNT11;FOXF1;TGFB3;IGF2;GATA3;GRHL2;FGFR2;DACT1;BMP5;SULF2
T-helper Cell Lineage Commitment (GO:0002295)	4/12	0.00280443941821188	0.0373117392554691	4	0.333333333333333	SOCS3;IL6;IRF4;SLAMF6
Low-Density Lipoprotein Particle Remodeling (GO:0034374)	4/12	0.00280443941821188	0.0373117392554691	4	0.333333333333333	CETP;PLA2G2A;AGTR1;PLA2G5
Negative Regulation of Complement Activation (GO:0045916)	4/12	0.00280443941821188	0.0373117392554691	4	0.333333333333333	CR1;CR1L;MASP1;VSIG4
Positive Regulation of Glycoprotein Biosynthetic Process (GO:0010560)	4/12	0.00280443941821188	0.0373117392554691	4	0.333333333333333	IL33;CCL21;CCL19;IGF1
Positive Regulation of Granulocyte Macrophage Colony-Stimulating Factor Production (GO:0032725)	4/12	0.00280443941821188	0.0373117392554691	4	0.333333333333333	CD80;IL1B;IL18;LILRA2
Positive Regulation of Neuroinflammatory Response (GO:0150078)	4/12	0.00280443941821188	0.0373117392554691	4	0.333333333333333	IL33;IL6;IL1B;IL18
Calcium Ion Transport (GO:0006816)	15/126	0.00288384458538504	0.0382109407563518	15	0.119047619047619	CCR1;RAMP3;SLC24A3;CHRNA4;TRPV3;NALCN;SLC8A1;TRPV6;CCL5;CDH23;CNGA1;CCL3;FYN;TRPM8;MS4A1
Negative Regulation of Signaling (GO:0023057)	6/28	0.00308346775174385	0.0406891887403586	6	0.214285714285714	SOCS2;TRAT1;HHIP;IGFBP3;IL1B;FGF23
Cellular Response to Type II Interferon (GO:0071346)	8/47	0.00310509420703169	0.0408080063875344	8	0.170212765957447	HCK;GBP7;CCL5;CCL3;CCL2;IRF8;AQP4;TLR4
Cholesterol Homeostasis (GO:0042632)	11/80	0.0033348644816575	0.0430095108983535	11	0.1375	CYP39A1;CETP;ACSM3;NPC1L1;EPHX2;IL18;ANGPTL3;LCAT;APOA4;CYP7B1;APOA5
Heart Trabecula Morphogenesis (GO:0061384)	5/20	0.00336227272772467	0.0430095108983535	5	0.25	TGFBR3;NRG1;TEK;BMP5;ENG
Leukotriene Metabolic Process (GO:0006691)	5/20	0.00336227272772467	0.0430095108983535	5	0.25	CYP4F2;CYP4A11;DPEP2;PLA2G4A;PLA2G5
Negative Regulation of Leukocyte Mediated Cytotoxicity (GO:0001911)	5/20	0.00336227272772467	0.0430095108983535	5	0.25	PTPRC;LILRB1;KLRD1;KLRC1;FCGR2B
Positive Regulation of Ion Transmembrane Transporter Activity (GO:0032414)	5/20	0.00336227272772467	0.0430095108983535	5	0.25	STAC;CCL2;ANK2;ANK3;CFTR
Regulation of Endopeptidase Activity (GO:0052548)	5/20	0.00336227272772467	0.0430095108983535	5	0.25	SERPINE1;SPOCK3;FETUB;SERPINB9;SERPINB8
Sprouting Angiogenesis (GO:0002040)	9/58	0.00336573036105272	0.0430095108983535	9	0.155172413793103	CCBE1;NR4A1;EGR3;BMPER;RSPO3;SEMA3E;TEK;THBS1;ENG
Cell Junction Organization (GO:0034330)	10/69	0.00341879667455701	0.0435156285387512	10	0.144927536231884	PKHD1;C1QA;NLGN4X;MYOT;TGFB3;SEMA3E;CNTN4;GRHL2;CBLN2;SNCA
Fatty Acid Beta-Oxidation (GO:0006635)	8/48	0.00355562159507452	0.0449036117846716	8	0.166666666666667	GCDH;BDH2;ACADL;CPT2;ETFDH;ACAA1;ACADS;SLC27A2
Negative Regulation of Tumor Necrosis Factor Production (GO:0032720)	8/48	0.00355562159507452	0.0449036117846716	8	0.166666666666667	GSTP1;PTPN22;IRAK3;LILRB1;IGF1;THBS1;TLR4;CD33
Defense Response to Bacterium (GO:0042742)	22/221	0.00361969807924122	0.0455349567711551	22	0.0995475113122172	IL33;FCN2;GBP7;TSLP;ANXA3;SERPINE1;SFTPD;PLA2G2A;STAB2;IL18;DEFA3;DEFB1;NLRC4;CFP;IL6;IL1B;STAB1;S100A12;HAMP;TLR4;S100A8;MBL2
Sterol Homeostasis (GO:0055092)	11/81	0.00367765606856199	0.0460755943025046	11	0.135802469135802	CYP39A1;CETP;ACSM3;NPC1L1;EPHX2;IL18;ANGPTL3;LCAT;APOA4;CYP7B1;APOA5
