Term	Overlap	P.value	Adjusted.P.value	Gene_count	Gene_ratio	Genes
Multiple tumors	11/87	0.00636859099944923	0.0357350530133504	11	0.126436781609195	AR;F9;MYC;FHL1;ENDOD1;HMOX1;CCL2;FAS;IGF1;PTGS2;GADD45G
Myopia, Degenerative	5/23	0.00639171759181995	0.0357350530133504	5	0.217391304347826	SAMD5;ZEB2;CLSTN2;ASPA;BMP6
C-cell hyperplasia of thyroid	5/23	0.00639171759181995	0.0357350530133504	5	0.217391304347826	AR;F9;MT1A;TFF1;RXFP1
Chronic glomerulonephritis	5/23	0.00639171759181995	0.0357350530133504	5	0.217391304347826	IL6;TGFB3;SERPINE1;CCL2;GADD45G
Cryptogenic Chronic Hepatitis	5/23	0.00639171759181995	0.0357350530133504	5	0.217391304347826	KRT19;MT1A;HGF;KRT7;GNMT
Meningomyelocele	5/23	0.00639171759181995	0.0357350530133504	5	0.217391304347826	PDGFRA;BMPER;SLC2A3;FREM2;DACT1
Multi-infarct dementia	5/23	0.00639171759181995	0.0357350530133504	5	0.217391304347826	IL6;EPO;MMP2;IL1B;IGF1
Osteophyte	5/23	0.00639171759181995	0.0357350530133504	5	0.217391304347826	GADD45B;IL1B;IGF2;IGF1;ASPN
Porphyria Cutanea Tarda	5/23	0.00639171759181995	0.0357350530133504	5	0.217391304347826	IL6;CYP1A2;CYP1A1;CYP2E1;HAMP
Severe hereditary factor VIII deficiency disease	5/23	0.00639171759181995	0.0357350530133504	5	0.217391304347826	F8;F9;MYC;HMOX1;F3
Tumor Necrosis Factor Receptor 1-Associated Periodic Syndrome	5/23	0.00639171759181995	0.0357350530133504	5	0.217391304347826	FCGR3A;FCGR3B;FOS;CD14;IL18R1
Typhoid Fever	5/23	0.00639171759181995	0.0357350530133504	5	0.217391304347826	PACRG;IL1B;IL24;TLR4;CFTR
Chronic Fatigue Syndrome	9/64	0.00655613757598828	0.0366253684000356	9	0.140625	IGHG3;IL6;SULT1E1;GCH1;PRF1;MASP2;CD14;CD69;PTGS2
Merkel cell carcinoma	13/112	0.00659176332209522	0.0367953476291719	13	0.116071428571429	PDGFRA;CD274;CD163;DUSP2;PRUNE2;MCC;SELE;FCGR3A;PTPRC;FCGR3B;MYC;NCAM1;MS4A1
Polycystic Kidney - body part	8/53	0.0066118190535608	0.0368491773709475	8	0.150943396226415	PKHD1;CPT2;EPO;ETFDH;TGFA;GATA3;PROM1;CFTR
